full_name,first_name,second_name,now_cost,team,element_type,total_points,pos,team_name,GF,GA,is_available,y_pred,y_pred_delta_1,y_pred_delta_2,y_pred_delta_3,y_pred_delta_4,y_pred_delta_5,y_pred_delta_6,y_pred_delta_7,y_pred_delta_8,y_pred_delta_9,y_pred_delta_10,y_pred_delta_11,y_pred_delta_12,y_pred_delta_13,y_pred_delta_14,y_pred_delta_15,y_pred_delta_16,y_pred_delta_17,y_pred_delta_18,picked_by,pick
Jayden_Bogle,Jayden,Bogle,45,13,2,96,DEF,Leeds,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,,
Joe_Rodon,Joe,Rodon,45,13,2,109,DEF,Leeds,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,,
Luke_Shaw,Luke,Shaw,45,16,2,113,DEF,Man Utd,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,,
Ayden_Heaven,Ayden,Heaven,45,16,2,42,DEF,Man Utd,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,,
Rico_Lewis,Rico,Lewis,45,15,2,19,DEF,Man City,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Noussair_Mazraoui,Noussair,Mazraoui,45,16,2,53,DEF,Man Utd,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Vitor_de_Oliveira_Nunes_dos_Reis,Vitor,de Oliveira Nunes dos Reis,45,15,2,0,DEF,Man City,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Reinildo_Mandava,Reinildo,Mandava,45,20,2,74,DEF,Sunderland,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nicolo_Savona,Nicolò,Savona,45,18,2,39,DEF,Nott'm Forest,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Luca_Netz,Luca,Netz,45,18,2,11,DEF,Nott'm Forest,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Djed_Spence,Djed,Spence,45,19,2,78,DEF,Spurs,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jair_Paula_da_Cunha_Filho,Jair,Paula da Cunha Filho,45,18,2,13,DEF,Nott'm Forest,0,0,True,52.64709112876653,0.0,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
