full_name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,value,yellow_cards,ewma_team_goals,ewma_team_points,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,intercept,predicted_points
noah_okafor,MID,Leeds,0.03428740722135141,-0.0,0.0,0.0,0.0381116499417112,-0.018624407753071993,-0.010054245999516027,-0.02270344585465571,-0.0,-0.008293323471133379,-0.0,0.0,-0.019054188018802296,-0.0,0.39634658124853733,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,-0.030579918495116803,0.03125888638052681,0.11427884532988278,-0.0,0.0,0.0,0.0,0.0,1.6639020936583393,2.1701120378963634
noah_sadiki,MID,Sunderland,0.04731437214461294,-0.0,0.0,0.0,0.010513928722543326,0.038887244747199734,0.0393157701696439,0.06593959312679763,0.0,0.016304126433075546,0.0,0.0,0.0776018771060531,0.0,0.8151146223073016,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.3886991532078371,-0.001105903763494407,-0.07559449754235119,0.0,0.0,0.0,0.0,0.0,1.6639020936583393,3.0881284840258694
noni_madueke,MID,Arsenal,-0.0678928488954811,-0.0,0.0,-0.0,-0.007884552090235256,-0.0038798627977990247,-0.02281013534465783,-0.037357562509612335,-0.0,-0.020059892055117937,-0.0,0.0,-0.02363835831009366,-0.0,-0.5604220681148898,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.03670717292191772,0.19830789919674385,-0.0,-0.0,-0.0,-0.0,-0.0,1.6639020936583393,0.9929556162277885
omari_hutchinson,MID,Nott'm Forest,-0.12773546901171368,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,0.013282386355290223,-0.0,0.0,0.0,-0.0,-0.0,1.6639020936583393,0.5732809990168821
oscar_bobb,MID,Fulham,0.07377539464498788,-0.0,0.0,0.0,0.010513928722543326,0.1600541101457736,0.2261659270586655,0.18302885855610795,0.0,0.03810775540465497,0.0,0.0,0.12072415696481094,0.0,0.6995171943067052,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.38814011444556645,0.023167688844521504,0.025401961432241358,-0.0,-0.0,0.0,0.0,0.0,1.6639020936583393,3.6137352878932294
oscar_zambrano,MID,Hull City,-0.16030288131986747,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,-0.17659095651694376,-0.0,0.0,-0.0,0.0,-0.0,1.6639020936583393,0.35084024383649437
pape_matar_sarr,MID,Spurs,-0.16030288131986747,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,-0.09256190265008281,-0.0,0.0,0.0,0.0,-0.0,1.6639020936583393,0.43486929770335525
pascal_gross,MID,Brighton,0.37909488503392963,0.0,-0.0,0.0,0.0043811017849504676,0.09320820942784921,0.025142559786153023,0.1663633925563533,0.0,0.06196609924203069,0.0,-0.0,0.06889972333275421,0.0,1.0005067238176921,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.16452460953732445,0.09598846666856922,0.025401961432241358,0.0,-0.0,0.0,-0.0,-0.0,1.6639020936583393,3.7506159299864983
patrick_dorgu,MID,Man Utd,-0.06952121951088877,-0.0,0.0,-0.0,-0.007884552090235256,-0.021696187952087203,-0.022337694998541463,0.00545544497251586,0.0,0.0013446196403715583,0.0,0.0,-0.005068583740286237,-0.0,-0.2427108980755147,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,0.09352668672895756,-0.0334706939075156,0.11427884532988278,0.0,-0.0,0.0,0.0,0.0,1.6639020936583393,1.4770539637633087
pedro_lomba_neto,MID,Chelsea,0.1763627434156723,-0.0,0.0,0.0,-0.007884552090235256,0.06401638856882086,0.033882706189305736,0.0406540585064803,0.0,0.036984314183068495,0.0,-0.0,0.06252850360587468,0.0,0.5701062371739619,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.1639655707750539,0.055532478988542716,0.22739487938142647,-0.0,-0.0,0.0,-0.0,0.0,1.6639020936583393,3.0886815260646223
phil_foden,MID,Man City,0.2284706031087184,0.0,-0.0,0.0,-0.007884552090235256,0.09735015821232777,0.07498501630142933,0.23762262648633853,0.0,-0.00016315673596816962,-0.0,0.0,0.059420591543982236,0.0,0.25457615068176803,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.05942532223045065,0.05067776046693954,0.328391338356019,0.0,-0.0,-0.0,0.0,-0.0,1.6639020936583393,3.0480100559284207
quinten_timber,MID,Crystal Palace,-0.0076431361253965855,-0.0,0.0,0.0,-0.007884552090235256,-0.03943324135930401,-0.030132960709461455,-0.0346278741131008,-0.0,0.07402831025274853,0.0,0.0,-0.03389446811433877,-0.0,0.6915198879670413,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,-0.07586205823903583,0.013458251801315149,-0.07559449754235119,-0.0,-0.0,-0.0,-0.0,-0.0,1.6639020936583393,2.1390718590945315
raphael_borges_rodrigues,MID,Coventry City,-0.14401917516579055,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,-0.17659095651694376,-0.0,0.0,0.0,0.0,-0.0,1.6639020936583393,0.3671239499905712
rayan_cherki,MID,Man City,0.6575462602686446,0.0,-0.0,0.0,0.0381116499417112,0.2102727619154802,0.20136280888755642,0.1744087899355452,0.0,0.0045671220917643165,-0.0,-0.0,0.16306945880809567,0.0,0.5054007586075906,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.28471794342550455,0.19308283710063284,0.45362694748451354,0.0,-0.0,-0.0,0.0,-0.0,1.6639020936583393,4.55130553583369
rayan_vitor_simplicio_rocha,MID,Bournemouth,0.04812855745231678,-0.0,0.0,0.0,-0.007884552090235256,-0.02462924259372752,-0.020920373960192376,0.00919080804142637,0.0,0.022187410725067833,0.0,0.0,0.008528531530493261,-0.0,0.9728796655533984,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,0.1796186561186308,0.013458251801315149,0.22739487938142647,-0.0,-0.0,0.0,-0.0,-0.0,1.6639020936583393,3.0930907893265704
regan_slater,MID,Hull City,0.1796194846464877,0.0,0.0,0.0,0.0687757846296755,0.014768815700738427,0.016402413383000313,-0.00488863737215941,-0.0,0.04410929666734057,-0.0,0.0,0.011325652386196466,0.0,1.0005067238176921,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,-0.016044910676081076,0.06362367652454803,-0.17659095651694376,0.0,0.0,-0.0,0.0,-0.0,1.6639020936583393,2.866745540557145
reiss_nelson,MID,Arsenal,-0.12773546901171368,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,0.025401961432241358,-0.0,-0.0,-0.0,-0.0,-0.0,1.6639020936583393,0.5854005740938333
rio_ngumoha,MID,Liverpool,-0.026776490856436932,-0.0,0.0,-0.0,-0.007884552090235256,-0.034122034305522894,-0.023991236209948735,-0.03577721659584251,-0.0,-0.01731041748649843,-0.0,0.0,-0.03723547358087315,-0.0,-0.3721218552082578,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.07194878690314159,-0.04479837045792303,0.11427884532988278,-0.0,-0.0,-0.0,-0.0,-0.0,1.6639020936583393,1.1074506090018528
rodrigo_'rodri'_hernandez_cascante,MID,Man City,-0.16030288131986747,-0.0,0.0,-0.0,-0.007884552090235256,-0.04042413819769602,-0.030132960709461455,-0.04181126463023641,-0.0,-0.02094681933531778,-0.0,0.0,-0.04360669330775269,-0.0,-0.6353059365681064,0.0,0.0,0.0,0.0012361037083109714,0.0,-0.0,-0.08983802729580097,-0.06745372355873787,0.22739487938142647,-0.0,-0.0,-0.0,0.0,-0.0,1.6639020936583393,0.7548260797348645
rodrigo_bentancur,MID,Spurs,0.07377539464498792,-0.0,0.0,0.0,0.0381116499417112,-0.010518871615025438,-0.02281013534465783,-0.03304752819933098,-0.0,0.01872839433228845,0.0,0.0,0.005032130460864245,0.0,0.8696417109868282,0.0,0.0,0.0,0.0012361037083109714,0.0,0.0,-0.0395245386914465,0.07980607159655863,0.025401961432241358,-0.0,0.0,0.0,0.0,-0.0,1.6639020936583393,2.6697344369116696
